label,AccX_mean,AccX_std,AccX_rms,AccX_kurtosis,AccX_skew,AccX_fft_mean,AccX_fft_std,AccX_fft_max,AccY_mean,AccY_std,AccY_rms,AccY_kurtosis,AccY_skew,AccY_fft_mean,AccY_fft_std,AccY_fft_max,AccZ_mean,AccZ_std,AccZ_rms,AccZ_kurtosis,AccZ_skew,AccZ_fft_mean,AccZ_fft_std,AccZ_fft_max
Electrical_Fault_Noise,294.185546875,1763.5584427797398,1787.9271565390586,-0.1975442233682969,0.04841035196015944,61627.571551351415,94589.5781079815,2186716.967939794,-187.828369140625,1212.5916227004204,1227.0525415389782,-0.3295861838236487,-0.398431185914896,36419.64064587282,68550.5192089391,1294341.2933541432,16207.254638671875,2314.766575420627,16371.72096089582,-0.14007667029553117,-0.0481194131329206,102658.40789899898,106859.07428383006,2264178.7041839985
Electrical_Fault_Noise,289.831787109375,1774.2362369171615,1797.7532336805807,-0.18522387302979837,0.04370471917382778,60846.36181870607,95903.01035978242,2210760.094367844,-187.31640625,1215.9233340075186,1230.2670402129672,-0.36356881838419497,-0.3507589954414509,36159.89014803777,68928.38457743287,1573362.5955413505,16238.307861328125,2349.5207064413785,16407.40350418882,-0.07885627835435871,-0.03149271052214553,103940.32884259027,108698.73637513662,2228285.9655260863
Electrical_Fault_Noise,289.29833984375,1777.5904019395346,1800.9778362056281,-0.24765360119611568,0.015916417166193502,61046.55898000326,96027.41523815178,2084503.118915154,-180.270263671875,1205.9488060878925,1219.348141782789,-0.4271206761656088,-0.29893115453403557,35557.76895751836,68523.01868262785,1656414.3467118277,16227.285400390625,2352.878506831972,16396.976207021908,0.043327404449326146,-0.03579650589156174,102482.68115167537,110362.8918867521,2182772.1560169132
Electrical_Fault_Noise,297.113037109375,1777.9602122306749,1802.6143994475644,-0.23751747231143483,0.009538058026751091,60529.54646470502,96387.43703352842,2184972.2077629603,-180.681640625,1193.1486319502076,1206.7516369094321,-0.39929033107908074,-0.3583240670807306,34103.468440269615,68343.6767124085,1473507.6487094224,16205.668701171875,2326.4786561153373,16371.811170102774,0.013470107244348384,-0.022330329644594315,99317.42434268654,110976.62193345638,2314132.9568145494
Electrical_Fault_Noise,304.4404296875,1764.3296268259821,1790.4030292993305,-0.21455279324553933,-0.0022348045676518907,61834.729507224016,94514.35434073502,2207634.2194273425,-181.09375,1200.5273121209852,1214.109045118065,-0.40346811394724824,-0.355125065526131,35307.31221182145,68262.0132897437,1544512.6559119222,16180.47119140625,2335.164472457535,16348.108180745425,-0.028389542217078567,0.01790176245983898,103505.48654135452,107855.97191394806,2355714.727264945
Electrical_Fault_Noise,299.94677734375,1765.1360210897626,1790.439399194371,-0.2190740553486683,-0.016105683991975095,61545.78116139087,94764.12984185068,2217180.7977285176,-178.498779296875,1189.6182199663276,1202.9352948044746,-0.4291237946741431,-0.3324098052140871,35316.82204761074,67467.77026400331,1326952.78887751,16169.968994140625,2332.1929739286484,16337.289289815228,0.07449398507963467,-0.02168168661816438,103014.97448862699,108056.24560532164,2368281.746381709
Electrical_Fault_Noise,298.552001953125,1774.154227754255,1799.0988082171907,-0.21398939743570766,-0.004034140124617185,61767.71237415532,95308.44102580594,2232600.889700113,-186.70361328125,1177.3840518759987,1192.0954008904735,-0.46307011713230617,-0.3494935477243381,33466.0071158594,67529.47888674172,2087252.0267742898,16178.4736328125,2313.244398091318,16343.014065126119,-0.003697703715396461,-0.07163157374908943,99975.57143971288,109235.98286869653,2379594.1277770833
Electrical_Fault_Noise,291.91259765625,1776.4165261812154,1800.2412724854844,-0.1487399163492955,0.027675004452921426,62171.31716314122,95213.61622456463,1953990.1872413757,-186.71240234375,1196.0149977350281,1210.501299460721,-0.43302965865560816,-0.3665778794007246,34956.930676722695,68117.37544372477,1840748.9585059052,16226.3642578125,2318.029001498666,16391.099886188356,-0.19134143322538355,-0.07749703097948255,101664.22708061755,108086.62631778332,1983732.9087732774
Electrical_Fault_Noise,292.180419921875,1762.032417036896,1786.092840944896,-0.17445785395168345,0.03930512333216948,61918.68688706536,94273.26622092414,2129318.346959733,-185.4638671875,1203.9378589957732,1218.1392425972774,-0.372142351523868,-0.39971993015850943,35025.003471305616,68651.64426436865,1794913.7981100492,16238.178466796875,2312.0224762739845,16401.947684660558,-0.09794054104650662,-0.014261116129626508,100603.08166833755,108557.0286416479,2330696.321379874
Electrical_Fault_Noise,310.614990234375,1773.8666648835415,1800.856634200335,-0.18196792841816256,0.04320572578907469,62797.98943726259,94606.99997049184,2209999.630398886,-178.9619140625,1183.2700828135107,1196.726976200673,-0.4130784982813829,-0.36329325689191333,35319.420225410344,67009.43793251255,1911475.1183467,16250.99072265625,2313.844912840022,16414.88890454441,-0.01931364901726207,0.032485845170198945,102192.7283616017,107222.43381003669,2321292.5371828163
